Nr.crt.,Numar Anunt,Data Publicare,Denumire Autoritate contractanta,CUI,Judet,Tip Contract,Utilitati,Tip Procedura,Criteriu Atribuire,Valoare Estimata,Moneda,Modalitate Desfasurare,Trimis la OJEU,Fonduri Comunitare,Cod CPV,Denumire Cod CPV
2034,158531,07.04.2015 01:30,TRANSURBIS,R 10683385,Salaj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"2,520,000.00",RON,Offline,DA,NU,09134200-9,Motorina (Rev.2)
2035,158569,07.04.2015 01:30,MUNICIPIUL BRAILA,4205670,Braila,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"9,787,773.00",RON,Offline,DA,DA,33110000-4,"Echipament de imagistica de uz medical, dentar si veterinar (Rev.2)"
2036,158572,07.04.2015 01:30,Municipiul Craiova,4417214,Dolj,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"54,380,401.00",RON,Offline,DA,DA,45233140-2,Lucrari de drumuri (Rev.2)
2037,158530,07.04.2015 01:30,Judetul Bistrita-Nasaud,4347550,Bistrita-Nasaud,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"50,446,793.00",RON,Offline,DA,NU,45233142-6,Lucrari de reparare a drumurilor (Rev.2)
2038,158576,07.04.2015 01:30,INSPECTORATUL GENERAL AL POLITIEI ROMANE,4453144,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"3,063,159.78",RON,Offline,DA,DA,34114200-1,Masini de politie (Rev.2)
2039,158524,07.04.2015 01:30,UNIVERSITATEA DUNAREA DE JOS,3127522,Galati,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,743,000.00",RON,Offline,DA,DA,42996000-4,Utilaje de tratare a apelor reziduale (Rev.2)
2040,158579,07.04.2015 01:30,"Institutul National de Cercetare Dezvoltare pentru Fizica si Inginerie Nucleara ""Horia Hulubei""",R 3321234,Ilfov,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"294,371.00",EUR,Online,DA,DA,48000000-8,Pachete software si sisteme informatice (Rev.2)
2041,158486,07.04.2015 01:30,INSPECTORATUL GENERAL AL POLITIEI DE FRONTIERA,4193222,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,751,000.00",RON,Offline,DA,NU,35331500-8,Cartuse (Rev.2)
2042,158496,07.04.2015 01:30,SPITALUL CLINIC JUDETEAN DE URGENTA SF.SPIRIDON IASI,4701312,Iasi,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"959,066.00",RON,Offline,DA,NU,33141210-5,Catetere cu balon (Rev.2)
2043,158573,07.04.2015 01:30,Ministerul Afacerilor Externe,4266863,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"4,721,816.25",RON,Online,DA,DA,72262000-9,Servicii de dezvoltare software (Rev.2)
2044,158555,07.04.2015 01:30,"Spital Clinic Municipal ""Filantropia"" Craiova",5002177,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"986,274.00",RON,Online,DA,NU,33100000-1,Echipamente medicale (Rev.2)
2045,158490,07.04.2015 01:30,Politia Locala Sector 2,17125270,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"810,000.00",RON,Offline,DA,NU,50110000-9,Servicii de reparare si de intretinere a autovehiculelor si a echipamentelor conexe (Rev.2)
2046,158495,07.04.2015 01:30,Teatrul National I.L. Caragiale Bucuresti,4192626,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"759,488.00",RON,Online,DA,NU,09310000-5,Electricitate (Rev.2)
2047,158503,07.04.2015 01:30,Academia de Politie Alexandru Ioan Cuza Bucuresti,4266472,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,979,000.00",RON,Online,DA,NU,09310000-5,Electricitate (Rev.2)
2048,158594,07.04.2015 08:55,Comuna Tepu,3655935,Galati,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"585,200.00",RON,Offline,NU,DA,43262100-8,Excavatoare mecanice (Rev.2)
2049,158533,07.04.2015 14:51,"SPITALUL JUDETEAN DE URGENTA""DR. CONSTANTIN OPRIS"" BAIA MARE",3694594,Maramures,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"3,500.00",RON,Offline,NU,NU,50420000-5,Servicii de reparare si de intretinere a echipamentului medical si chirurgical (Rev.2)
2050,158539,07.04.2015 14:52,Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii,14751237,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"206,166.65",RON,Offline,NU,NU,34300000-0,Piese si accesorii pentru vehicule si pentru motoare de vehicule (Rev.2)
2051,158543,07.04.2015 14:55,"Compania Nationala de Cai Ferate ""CFR"" - SA",RO 11054529,Bucuresti,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,"2,528,791.35",RON,Offline,NU,NU,45234100-7,Lucrari de constructii de cai ferate (Rev.2)
2052,158544,07.04.2015 14:56,SPITALUL JUDETEAN DE URGENTA VALCEA,2540589,Valcea,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"405,337.80",RON,Online,NU,NU,39263000-3,Articole de birou (Rev.2)
2053,158560,07.04.2015 15:01,"Institutul de Boli Cardiovasculare ""Prof.Dr.C.C. Iliescu""",4203628,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"561,465.60",RON,Online,NU,NU,33651100-9,Antibacterieni pentru uz sistemic (Rev.2)
2054,158563,07.04.2015 15:03,Municipiul Slobozia,4365352,Ialomita,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"1,376,200.00",RON,Offline,NU,NU,45315300-1,Instalatii de distributie de energie electrica (Rev.2)
2055,158527,07.04.2015 15:09,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"107,000.00",RON,Offline,NU,NU,34131000-4,Camionete (Rev.2)
2056,158528,07.04.2015 15:09,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"9,407.60",RON,Offline,NU,NU,15981200-0,Apa minerala carbogazoasa (Rev.2)
2057,158529,07.04.2015 15:10,REGIA AUTONOMA DE TRANSPORT CRAIOVA,RO 2315129,Dolj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"122,000.00",RON,Offline,NU,NU,34300000-0,Piese si accesorii pentru vehicule si pentru motoare de vehicule (Rev.2)
2058,158616,07.04.2015 15:12,UNIVERSITATEA CRAIOVA,4553380,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"231,251.00",RON,Offline,NU,DA,48461000-7,Pachete software analitice sau stiintifice (Rev.2)
2059,158532,07.04.2015 15:23,"SPITALUL JUDETEAN DE URGENTA""DR. CONSTANTIN OPRIS"" BAIA MARE",3694594,Maramures,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"5,400.00",RON,Offline,NU,NU,50420000-5,Servicii de reparare si de intretinere a echipamentului medical si chirurgical (Rev.2)
2060,158534,07.04.2015 15:26,Electrocentrale Bucuresti S.A.,RO 15189596,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"234,000.00",RON,Online,NU,NU,71319000-7,Servicii de expertiza (Rev.2)
2061,158536,07.04.2015 15:31,"Compania Nationala de Cai Ferate ""CFR"" - SA",RO 11054529,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"20,000.00",RON,Offline,NU,NU,71319000-7,Servicii de expertiza (Rev.2)
2062,158537,07.04.2015 15:31,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"8,610.00",RON,Online,NU,NU,24450000-3,Produse agrochimice (Rev.2)
2063,158538,07.04.2015 15:32,"COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE ""TRANSELECTRICA"" S.A.",RO 13328043,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"25,000.00",RON,Offline,NU,NU,71323100-9,Servicii de proiectare a sistemelor de energie electrica (Rev.2)
2064,158540,07.04.2015 15:32,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"16,500.00",RON,Offline,NU,NU,71630000-3,Servicii de inspectie si testare tehnica (Rev.2)
2065,158541,07.04.2015 15:33,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"148,176.00",RON,Offline,NU,NU,76110000-7,Servicii privind extractia gazelor (Rev.2)
2066,158545,07.04.2015 15:33,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"38,607.80",RON,Offline,NU,NU,22458000-5,Imprimate la comanda (Rev.2)
2067,158547,07.04.2015 15:34,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"36,000.00",RON,Offline,NU,NU,71321000-4,Servicii de proiectare tehnica a instalatiilor mecanice si electrice pentru constructii (Rev.2)
2068,158550,07.04.2015 15:35,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"90,000.00",RON,Offline,NU,NU,43121400-1,Echipament de interventie pentru sonde (Rev.2)
2069,158552,07.04.2015 15:35,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"68,918.50",RON,Offline,NU,NU,50116500-6,"Servicii de reparare a pneurilor, inclusiv montare si echilibrare (Rev.2)"
2070,158559,07.04.2015 15:38,Regia Autonoma de Transport Bucuresti,1589886,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"42,603.98",RON,Offline,NU,NU,44315300-4,Materiale de sudare sau de sudare puternica (Rev.2)
2071,158562,07.04.2015 15:39,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"126,549.27",RON,Offline,NU,NU,50413000-3,Servicii de reparare si de intretinere a aparatelor de control (Rev.2)
2072,158565,07.04.2015 15:39,Apavital SA Iasi,1959768,Iasi,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"1,133,346.70",RON,Offline,NU,NU,34300000-0,Piese si accesorii pentru vehicule si pentru motoare de vehicule (Rev.2)
2073,158566,07.04.2015 15:40,SOCIETATEA COMPLEXUL ENERGETIC HUNEDOARA S.A.,RO30855230,Hunedoara,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"255,280.00",RON,Offline,NU,NU,44540000-7,Lanturi (Rev.2)
2074,158582,07.04.2015 15:42,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"249,600.00",RON,Offline,NU,NU,60100000-9,Servicii de transport rutier (Rev.2)
2075,158583,07.04.2015 15:43,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"100,000.00",RON,Offline,NU,NU,50112000-3,Servicii de reparare si de intretinere a automobilelor (Rev.2)
2076,158584,07.04.2015 15:43,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"63,929.50",RON,Online,NU,NU,22458000-5,Imprimate la comanda (Rev.2)
2077,158561,08.04.2015 01:30,SPITALUL JUDETEAN DE URGENTA BRAILA,4342863,Braila,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"3,566,688.00",RON,Online,DA,NU,24111900-4,Oxigen (Rev.2)
2078,158551,08.04.2015 01:30,DIRECTIA NATIONALA ANTICORUPTIE,14838148,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"1,326,400.00",RON,Online,DA,NU,50112000-3,Servicii de reparare si de intretinere a automobilelor (Rev.2)
2079,158548,08.04.2015 01:30,SPITALUL DE BOLNAVI CRONICI SI GERIATRIE SF LUCA,4340650,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"941,400.00",RON,Offline,DA,NU,24455000-8,Dezinfectanti (Rev.2)
2080,158549,08.04.2015 01:30,Consiliul Judetean Buzau,3662495,Buzau,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"13,412,670.76",RON,Online,DA,NU,33100000-1,Echipamente medicale (Rev.2)
2081,158554,08.04.2015 01:30,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"1,036,800.00",RON,Offline,DA,NU,50110000-9,Servicii de reparare si de intretinere a autovehiculelor si a echipamentelor conexe (Rev.2)
2082,158542,08.04.2015 01:30,SPITALUL JUDETEAN DE URGENTA BACAU,4278728,Bacau,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,377,180.00",RON,Offline,DA,NU,33696200-7,Reactivi pentru analize de sange (Rev.2)
2083,158577,08.04.2015 01:30,DIRECTIA GENERALA REGIONALA A FINANTELOR PUBLICE CRAIOVA,4416952,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,149,920.00",RON,Online,DA,NU,09310000-5,Electricitate (Rev.2)
2084,158556,08.04.2015 01:30,Consiliul Judetean Dâmbovita,4280205,Dambovita,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"9,259,998.00",RON,Online,DA,NU,15811300-9,Cornuri (Rev.2)
2085,158580,08.04.2015 01:30,INSTITUTUL ONCOLOGIC PROF DR ALEXANDRU TRESTIOREANU,4203709,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"4,332,940.80",RON,Online,DA,NU,33690000-3,Diverse medicamente (Rev.2)
2086,158564,08.04.2015 01:30,SPITAL CLINIC JUDETEAN DE URGENTA ORADEA,4208498,Bihor,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"3,420,680.00",RON,Offline,DA,NU,33171110-3,Masca de anesteziere-reanimare (Rev.2)
2087,158581,08.04.2015 01:30,ENEL DISTRIBUTIE MUNTENIA S.A.,RO 14507322,Bucuresti,Servicii,DA,Negociere,Pretul cel mai scazut,"7,746,372.00",RON,Offline,DA,NU,50532400-7,Servicii de reparare si de intretinere a echipamentului de distributie electrica (Rev.2)
2088,158553,08.04.2015 01:30,SPITAL CLINIC JUDETEAN DE URGENTA ORADEA,4208498,Bihor,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,418,728.00",RON,Offline,DA,NU,33194120-3,Articole pentru perfuzii (Rev.2)
2089,158546,08.04.2015 01:30,INSPECTORATUL DE STAT PENTRU CONTROLUL IN TRANSPORTUL RUTIER,29348330,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,890,000.00",RON,Online,DA,NU,42923230-3,Cantare de verificare (Rev.2)
2090,158578,08.04.2015 01:30,Directia Generala de Asistenta Sociala si Protectia Copilului Sector 1,15318810,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,034,959.00",RON,Offline,DA,NU,39831200-8,Detergenti (Rev.2)
2091,158571,08.04.2015 01:30,SC ECOVOL SA,21551614,Ilfov,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"918,000.00",RON,Offline,DA,NU,09134200-9,Motorina (Rev.2)
2092,158574,08.04.2015 01:30,SPITALUL JUDETEAN DE URGENTA BRAILA,4342863,Braila,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"781,984.00",RON,Online,DA,NU,50421200-4,Servicii de reparare si de intretinere a echipamentului radiologic (Rev.2)
2093,158558,08.04.2015 01:30,"Institutul de Boli Cardiovasculare ""Prof.Dr.C.C. Iliescu""",4203628,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"3,081,540.00",RON,Online,DA,NU,33696500-0,Reactivi de laborator (Rev.2)
2094,158570,08.04.2015 01:30,DIRECTIA GENERALA LOGISTICA,4267060,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"26,112,000.00",RON,Offline,DA,NU,09132100-4,Benzina fara plumb (Rev.2)
2095,158567,08.04.2015 01:30,COMPANIA NATIONALA LOTERIA ROMÂNA S.A.,RO12397185,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"573,110.00",EUR,Offline,DA,NU,22450000-9,Imprimate nefalsificabile (Rev.2)
2096,158636,08.04.2015 09:22,UNIVERSITATEA CRAIOVA,4553380,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"430,000.00",RON,Offline,NU,DA,30236000-2,Diverse tipuri de echipamente computerizate (Rev.2)
2097,158640,08.04.2015 10:34,"UNIVERSITATEA DE MEDICINA SI FARMACIE ""GR.T.POPA"" IASI",4701100,Iasi,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"204,784.38",RON,Online,NU,DA,03325000-3,Animale mici (Rev.2)
2098,158589,08.04.2015 15:00,APA CANAL 2000 S.A.,RO 13009001,Arges,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"1,230,000.00",RON,Offline,NU,NU,09132000-3,Benzina (Rev.2)
2099,158595,08.04.2015 15:05,MINISTERUL AFACERILOR INTERNE,4267095,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"218,709.71",RON,Online,NU,NU,30213300-8,Computer de birou (Rev.2)
2100,158611,08.04.2015 15:13,JUDETUL HARGHITA,4245763,Harghita,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"481,441.61",RON,Offline,NU,NU,03222321-9,Mere (Rev.2)
2101,158617,08.04.2015 15:14,Spitalul Clinic de Boli Infectioase Constanta,15113490,Constanta,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"118,112.00",RON,Online,NU,NU,33696500-0,Reactivi de laborator (Rev.2)
2102,158586,08.04.2015 15:16,SOCIETATEA NATIONALA DE INCHIDERI MINE VALEA JIULUI SA,RO30859649,Hunedoara,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"404,128.00",RON,Offline,NU,NU,71356000-8,Servicii tehnice (Rev.2)
2103,158587,08.04.2015 15:17,"COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE ""TRANSELECTRICA"" S.A.",RO 13328043,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"31,160.00",RON,Offline,NU,NU,30210000-4,Masini de procesare a datelor (hardware) (Rev.2)
2104,158588,08.04.2015 15:17,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"18,702.65",RON,Online,NU,NU,22900000-9,Diverse imprimate (Rev.2)
2105,158590,08.04.2015 15:18,SOCIETATEA COMPLEXUL ENERGETIC HUNEDOARA S.A.,RO30855230,Hunedoara,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"27,934.35",RON,Offline,NU,NU,42142000-6,Piese pentru elemente de angrenare si de antrenare (Rev.2)
2106,158592,08.04.2015 15:18,HIDROELECTRICA SA,RO 13267213,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"1,081,023.00",RON,Offline,NU,NU,41110000-3,Apa potabila (Rev.2)
2107,158593,08.04.2015 15:19,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"316,725.50",RON,Offline,NU,NU,50532400-7,Servicii de reparare si de intretinere a echipamentului de distributie electrica (Rev.2)
2108,158598,08.04.2015 15:21,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"27,618.00",RON,Offline,NU,NU,15860000-4,"Cafea, ceai si produse conexe (Rev.2)"
2109,158603,08.04.2015 15:25,Electrocentrale Bucuresti S.A.,RO 15189596,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"22,162.00",RON,Online,NU,NU,50531000-6,Servicii de reparare si de intretinere a masinilor neelectrice (Rev.2)
2110,158604,08.04.2015 15:25,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"186,568.40",RON,Offline,NU,NU,31161000-2,Piese pentru motoare si generatoare electrice (Rev.2)
2111,158605,08.04.2015 15:26,Electrocentrale Bucuresti S.A.,RO 15189596,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"19,540.00",RON,Online,NU,NU,42124000-4,"Piese pentru pompe, pentru compresoare, pentru masini sau pentru motoare (Rev.2)"
2112,158606,08.04.2015 15:28,Electrocentrale Bucuresti S.A.,RO 15189596,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"47,372.97",RON,Online,NU,NU,50531000-6,Servicii de reparare si de intretinere a masinilor neelectrice (Rev.2)
2113,158607,08.04.2015 15:32,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"846,798.80",RON,Offline,NU,NU,31340000-1,"Accesorii de cablu, izolate (Rev.2)"
2114,158608,08.04.2015 15:33,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"34,405.62",RON,Online,NU,NU,50112200-5,Servicii de intretinere a automobilelor (Rev.2)
2115,158609,08.04.2015 15:34,SOCIETATEA COMPLEXUL ENERGETIC HUNEDOARA S.A.,RO30855230,Hunedoara,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"533,340.07",RON,Offline,NU,NU,60172000-4,Inchiriere de autobuze si de autocare cu sofer (Rev.2)
2116,158612,08.04.2015 15:35,Filiala de Distributie a Energiei Electrice  ELECTRICA  DISTRIBUTIE TRANSILVANIA NORD S.A.,RO14476722,Cluj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"142,500.00",RON,Offline,NU,NU,90910000-9,Servicii de curatenie (Rev.2)
2117,158613,08.04.2015 15:35,SOCIETATEA COMPLEXUL ENERGETIC HUNEDOARA S.A.,RO30855230,Hunedoara,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"511,056.00",RON,Offline,NU,NU,09100000-0,Combustibili (Rev.2)
2118,158614,08.04.2015 15:36,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"28,047.00",RON,Online,NU,NU,24452000-7,Insecticide (Rev.2)
2119,158619,08.04.2015 15:38,APA NOVA BUCURESTI,RO 12276949,Bucuresti,Servicii,DA,Negociere,Pretul cel mai scazut,"1,035,000.00",RON,Offline,NU,NU,50300000-8,"Servicii de reparare si de intretinere si servicii conexe pentru computere personale, pentru echipament de birotica, pentru echipament de telecomunicatii si pentru echipament audiovizual (Rev.2)"
2120,158666,08.04.2015 15:39,UNIVERSITATEA CRAIOVA,4553380,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"526,072.00",RON,Offline,NU,DA,38432210-7,Cromatografe de gaz (Rev.2)
2121,158623,08.04.2015 15:44,C.N.POSTA ROMANA S.A.,RO 427410,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"712,968.00",RON,Offline,NU,NU,22816000-3,Blocuri (Rev.2)
2122,158624,08.04.2015 15:45,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"9,762.00",RON,Offline,NU,NU,24410000-1,Ingrasaminte azotate (Rev.2)
2123,158622,09.04.2015 01:30,Ministerul Administratiei si Internelor - Directia Regim Permise de Conducere si Inmatriculare a Vehiculelor,17686532,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"4,201,612.90",RON,Offline,DA,NU,34121000-1,Autobuze si autocare (Rev.2)
2124,158620,09.04.2015 01:30,"Spitalul Clinic de Urgenta pentru Copii ""Grigore Alexandrescu""",4284134,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"14,094,815.90",RON,Offline,DA,NU,38434520-7,Analizoare de sange (Rev.2)
2125,158585,09.04.2015 01:30,"SPITALUL JUDETEAN ""DR.FOGOLYAN KRISTOF""SFANTU GHEORGHE",4202010,Covasna,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"719,340.00",RON,Offline,DA,NU,33621200-1,Antihemoragice (Rev.2)
2126,158665,09.04.2015 01:30,Consiliul Judetean Arad,3519941,Arad,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"17,494,893.89",RON,Offline,DA,DA,33100000-1,Echipamente medicale (Rev.2)
2127,158610,09.04.2015 01:30,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"3,292,380.00",RON,Offline,DA,NU,79421200-3,"Servicii de elaborare de proiecte, altele decat pentru lucrarile de constructie (Rev.2)"
2128,158638,09.04.2015 01:30,JUDETUL CLUJ (CONSILIUL JUDETEAN),4288110,Cluj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"4,272,259.00",RON,Offline,DA,DA,43250000-0,Incarcatoare cu bena frontala (Rev.2)
2129,158618,09.04.2015 01:30,"MINISTERUL APARARII-UNIVERSITATEA NATIONALA DE APARARE""CAROL I""-UM 02545",4267052,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,103,120.00",RON,Online,DA,NU,09310000-5,Electricitate (Rev.2)
2130,158615,09.04.2015 01:30,"Universitatea de Stiinte Agricole si Medicina Veterinara "" Ion Ionescu de la Brad"" Iasi",4541840,Iasi,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"24,844,354.99",RON,Online,DA,NU,45214300-3,Constructie de institutii de invatamant superior (Rev.2)
2131,158597,09.04.2015 01:30,SPITALUL JUDETEAN SATU MARE,3963722,Satu Mare,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"9,159,597.04",RON,Online,DA,NU,33651520-9,Imunoglobuline (Rev.2)
2132,158596,09.04.2015 01:30,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"2,917,600.00",RON,Offline,DA,NU,24322400-1,Fenoli si derivati ai fenolilor (Rev.2)
2133,158621,09.04.2015 01:30,SECTOR 4 (PRIMARIA SECTORULUI 4 BUCURESTI),RO 4316422,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"52,983,000.00",RON,Online,DA,NU,71200000-0,Servicii de arhitectura si servicii conexe (Rev.2)
2134,158600,09.04.2015 01:30,INSPECTORATUL PENTRU SITUATII DE URGENTA VASILE GOLDIS AL JUDETULUI ARAD,3861889,Arad,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,199,806.40",RON,Online,DA,NU,09134200-9,Motorina (Rev.2)
2135,158591,09.04.2015 01:30,SPITALUL JUDETEAN DE URGENTA VALCEA,2540589,Valcea,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"7,455,810.00",RON,Offline,DA,NU,15800000-6,Diverse produse alimentare (Rev.2)
